name,type,period_name,period_start,period_end
eoraptor,small theropod,Late Triassic,228,228
eotyrannus,large theropod,Early Cretaceous,127,121
equijubus,euornithopod,Early Cretaceous,127,99
erketu,sauropod,Early Cretaceous,,
erlikosaurus,small theropod,Late Cretaceous,99,89
euhelopus,sauropod,Late Jurassic,154,142
euoplocephalus,armoured dinosaur,Late Cretaceous,76,70
europasaurus,sauropod,Late Jurassic,154,151
eustreptospondylus,large theropod,Mid Jurassic,165,165
fukuiraptor,large theropod,Early Cretaceous,121,99
fukuisaurus,euornithopod,Early Cretaceous,121,99
gallimimus,large theropod,Late Cretaceous,74,70
gargoyleosaurus,armoured dinosaur,Late Jurassic,154,142
garudimimus,large theropod,Late Cretaceous,99,89
gasosaurus,small theropod,Mid Jurassic,170,160
gasparinisaura,euornithopod,Late Cretaceous,86,71
gastonia,armoured dinosaur,Early Cretaceous,142,127
giganotosaurus,large theropod,Early Cretaceous,112,90
gilmoreosaurus,euornithopod,Late Cretaceous,76,70
giraffatitan,sauropod,Late Jurassic,154,142
gobisaurus,armoured dinosaur,Early Cretaceous,121,99
gorgosaurus,large theropod,Late Cretaceous,80,73
goyocephale,large theropod,Late Cretaceous,81,75
graciliceratops,ceratopsian,Late Cretaceous,99,84
gryposaurus,euornithopod,Late Cretaceous,86,71
guaibasaurus,small theropod,Late Triassic,221,210
guanlong,small theropod,Late Jurassic,159,154
hadrosaurus,euornithopod,Late Cretaceous,78,74
haplocanthosaurus,sauropod,Late Jurassic,154,142
harpymimus,small theropod,Early Cretaceous,121,99
herrerasaurus,small theropod,Late Triassic,228,228
hesperosaurus,armoured dinosaur,Late Jurassic,154,142
heterodontosaurus,euornithopod,Early Jurassic,205,205
heyuannia,small theropod,Late Cretaceous,72,68
homalocephale,euornithopod,Late Cretaceous,72,68
huayangosaurus,armoured dinosaur,Mid Jurassic,170,160
hylaeosaurus,armoured dinosaur,Early Cretaceous,150,135
hypacrosaurus,euornithopod,Late Cretaceous,70,70
hypsilophodon,euornithopod,Early Cretaceous,125,125
iguanodon,euornithopod,Early Cretaceous,140,110
indosuchus,large theropod,Late Cretaceous,71,65
irritator,large theropod,Early Cretaceous,112,99
isisaurus,sauropod,Late Cretaceous,71,65
janenschia,sauropod,Late Jurassic,154,151
jaxartosaurus,euornithopod,Late Cretaceous,94,84
jingshanosaurus,sauropod,Early Jurassic,205,190
jinzhousaurus,euornithopod,Early Cretaceous,127,121
jobaria,sauropod,Early Cretaceous,132,94
juravenator,small theropod,Late Jurassic,154,151
kentrosaurus,armoured dinosaur,Late Jurassic,155,150
khaan,small theropod,Late Cretaceous,81,75
kotasaurus,sauropod,Early Jurassic,205,180
kritosaurus,euornithopod,Late Cretaceous,78,74
lambeosaurus,euornithopod,Late Cretaceous,76,74
lapparentosaurus,sauropod,Mid Jurassic,169,164
leaellynasaura,euornithopod,Early Cretaceous,115,110
leptoceratops,ceratopsian,Late Cretaceous,67,65
liaoceratops,ceratopsian,Early Cretaceous,127,121
ligabuesaurus,sauropod,Early Cretaceous,121,99
liliensternus,small theropod,Late Triassic,205,202
lophorhothon,euornithopod,Late Cretaceous,84,71
lophostropheus,large theropod,Early Jurassic,203,196
lufengosaurus,sauropod,Early Jurassic,200,195
lurdusaurus,euornithopod,Early Cretaceous,121,112
lycorhinus,euornithopod,Late Triassic,205,195
magyarosaurus,sauropod,Late Cretaceous,71,65
maiasaura,euornithopod,Late Cretaceous,80,75
majungasaurus,large theropod,Late Cretaceous,84,71
malawisaurus,sauropod,Early Cretaceous,121,112
mamenchisaurus,sauropod,Late Jurassic,155,145
mapusaurus,large theropod,Late Cretaceous,99,94
marshosaurus,large theropod,Late Jurassic,154,142
masiakasaurus,small theropod,Late Cretaceous,84,71
massospondylus,sauropod,Early Jurassic,208,204
